Material_ID,Category,Description,Base_Daily_Demand,Seasonality_Type,Lead_Time,Unit_Cost,Holding_Cost_Rate,Ordering_Cost,Stockout_Penalty
MAT001,FMCG,Shampoo,35,None,10,194.35,0.038,776.71,214.28
MAT002,FMCG,Conditioner,30,None,10,133.93,0.038,743.21,447.44
MAT003,FMCG,Toothpaste,40,None,10,68.35,0.024,317.47,189.44
MAT004,FMCG,Bath Soap,45,None,10,315.9,0.022,241.62,485.29
MAT005,FMCG,Laundry Detergent,50,None,5,354.9,0.042,260.47,104.86
MAT006,FMCG,Fabric Softener,30,None,5,57.46,0.042,210.93,487.95
MAT007,FMCG,Dishwashing Liquid,25,None,7,280.44,0.045,256.67,117.26
MAT008,FMCG,Bottled Water 1L,60,None,10,151.92,0.047,609.8,456.46
MAT009,FMCG,Instant Coffee,35,None,5,340.33,0.03,242.71,311.08
MAT010,FMCG,Canned Tuna,28,None,7,128.46,0.03,391.39,497.19
MAT011,Grocery,Rice 5kg,40,None,10,360.92,0.042,706.93,129.52
MAT012,Grocery,Cooking Oil 1L,30,None,3,224.03,0.036,213.96,321.54
MAT013,Grocery,Sugar 1kg,25,None,7,471.53,0.038,688.68,487.72
MAT014,Grocery,Flour 1kg,20,None,5,111.88,0.042,369.11,309.24
MAT015,Grocery,Pasta 500g,18,None,3,203.48,0.046,270.9,351.76
MAT016,Grocery,Tomato Sauce 250g,22,None,3,101.06,0.024,618.04,378.3
MAT017,Grocery,Breakfast Cereal,15,None,3,466.11,0.025,577.37,281.82
MAT018,Grocery,Peanut Butter,12,None,7,444.8,0.014,726.48,351.02
MAT019,Grocery,Chocolate Bar,30,None,5,166.07,0.033,641.04,333.73
MAT020,Grocery,Snack Chips,35,None,3,346.99,0.011,682.09,460.46
MAT021,Perishable,Fresh Milk 1L,50,None,10,417.75,0.029,369.22,118.18
MAT022,Perishable,Eggs 12pcs,45,None,3,299.84,0.032,306.46,212.39
MAT023,Perishable,Bread Loaf,40,None,3,288.34,0.021,650.37,480.16
MAT024,Perishable,Bananas,38,None,7,158.83,0.034,684.1,456.11
MAT025,Perishable,Chicken Breast 1kg,30,None,7,91.9,0.011,794.3,282.26
MAT026,Household,Toilet Paper 12pk,25,None,5,453.75,0.011,447.57,348.05
MAT027,Household,Paper Towels,20,None,10,455.19,0.043,423.21,210.95
MAT028,Household,Trash Bags,18,None,7,334.9,0.024,665.85,175.25
MAT029,Household,Light Bulbs,12,None,3,202.56,0.015,404.48,285.48
MAT030,Household,Cleaning Spray,15,None,5,207.14,0.031,758.45,241.34
MAT031,Electronics,Earphones,12,None,3,376.68,0.041,715.05,333.46
MAT032,Electronics,USB Cable,15,None,3,453.7,0.019,457.4,131.09
MAT033,Electronics,Power Bank,10,None,7,449.19,0.035,650.52,489.76
MAT034,Electronics,Wireless Mouse,8,None,5,400.94,0.013,652.73,494.48
MAT035,Electronics,LED Flashlight,10,None,10,338.91,0.012,261.87,379.26
MAT036,Apparel,Men T-Shirt,20,Summer,10,87.86,0.031,741.53,314.44
MAT037,Apparel,Women T-Shirt,18,Summer,7,122.73,0.032,503.15,223.81
MAT038,Apparel,Socks 3pk,15,None,7,454.35,0.035,695.87,425.52
MAT039,Apparel,Baseball Cap,10,Summer,5,322.89,0.039,392.03,373.89
MAT040,Apparel,Slippers,12,Summer,10,54.14,0.049,737.31,165.05
MAT041,Seasonal,Christmas Lights,5,Holiday,10,95.66,0.031,433.52,464.37
MAT042,Seasonal,Gift Wrap,8,Holiday,10,348.58,0.023,206.5,429.01
MAT043,Seasonal,School Notebook,20,School,3,52.28,0.042,743.23,479.92
MAT044,Seasonal,Ballpoint Pens,25,School,10,122.36,0.021,254.77,390.29
MAT045,Seasonal,Electric Fan,10,Summer,3,296.93,0.028,391.59,345.37
MAT046,Toys,Toy Car,8,None,5,361.35,0.013,770.04,267.3
MAT047,Toys,Stuffed Animal,6,None,3,343.38,0.011,770.36,473.09
MAT048,Toys,Coloring Book,10,None,5,150.92,0.049,544.06,446.43
MAT049,Misc,Water Bottle,15,None,10,370.48,0.043,579.1,118.09
MAT050,Misc,Umbrella,12,Rainy,10,156.76,0.038,469.07,110.55
MAT051,Seasonal,AutoGen Item 51,59,Rainy,5,196.43,0.026,375.93,250.59
MAT052,Toys,AutoGen Item 52,28,Summer,7,385.92,0.017,397.2,424.22
MAT053,Perishable,AutoGen Item 53,30,Holiday,5,342.33,0.016,603.51,494.91
MAT054,Toys,AutoGen Item 54,43,Holiday,7,432.15,0.02,651.42,160.17
MAT055,Apparel,AutoGen Item 55,9,School,3,345.93,0.032,674.95,337.65
MAT056,Apparel,AutoGen Item 56,9,School,3,305.74,0.039,673.77,252.36
MAT057,Electronics,AutoGen Item 57,40,School,3,92.15,0.036,254.72,487.97
MAT058,Apparel,AutoGen Item 58,51,None,10,215.47,0.021,496.65,436.85
MAT059,FMCG,AutoGen Item 59,34,Holiday,3,169.34,0.048,234.54,435.33
MAT060,Perishable,AutoGen Item 60,51,School,7,159.8,0.04,529.72,287.48
MAT061,Misc,AutoGen Item 61,10,Rainy,3,487.85,0.032,464.92,265.93
MAT062,Perishable,AutoGen Item 62,14,Rainy,5,226.89,0.034,732.62,209.36
MAT063,Misc,AutoGen Item 63,46,Summer,5,451.42,0.027,410.55,122.55
MAT064,Household,AutoGen Item 64,32,School,10,334.01,0.02,270.24,445.89
MAT065,Grocery,AutoGen Item 65,16,Summer,5,407.67,0.024,285.8,425.16
MAT066,Electronics,AutoGen Item 66,9,School,7,276.19,0.04,656.91,499.89
MAT067,Seasonal,AutoGen Item 67,51,Rainy,3,309.61,0.011,570.93,498.65
MAT068,Toys,AutoGen Item 68,54,Holiday,10,271.63,0.015,260.67,322.17
MAT069,FMCG,AutoGen Item 69,43,Summer,3,137.86,0.012,250.46,407.59
MAT070,Toys,AutoGen Item 70,11,Summer,3,375.1,0.012,620.58,477.91
MAT071,Apparel,AutoGen Item 71,49,School,7,176.35,0.044,243.66,439.86
MAT072,Apparel,AutoGen Item 72,36,Summer,5,60.94,0.038,693.12,198.94
MAT073,Grocery,AutoGen Item 73,17,School,5,340.46,0.029,623.75,280.22
MAT074,Toys,AutoGen Item 74,21,School,3,129.7,0.014,248.81,151.66
MAT075,Misc,AutoGen Item 75,47,Rainy,10,473.21,0.03,250.9,481.62
MAT076,Grocery,AutoGen Item 76,54,Rainy,5,479.27,0.029,791.98,342.47
MAT077,Toys,AutoGen Item 77,33,None,10,461.69,0.017,424.56,191.46
MAT078,Misc,AutoGen Item 78,36,Rainy,5,216.57,0.027,422.39,368.68
MAT079,FMCG,AutoGen Item 79,32,None,10,56.96,0.026,687.68,347.25
MAT080,Toys,AutoGen Item 80,8,School,7,467.74,0.035,768.35,243.27
MAT081,Toys,AutoGen Item 81,31,Holiday,10,242.68,0.035,791.6,145.42
MAT082,Perishable,AutoGen Item 82,24,Holiday,7,484.99,0.012,652.03,368.63
MAT083,Perishable,AutoGen Item 83,40,Holiday,7,483.63,0.025,425.76,308.12
MAT084,Electronics,AutoGen Item 84,49,Summer,10,433.85,0.035,250.1,408.93
MAT085,Misc,AutoGen Item 85,35,None,7,182.5,0.03,666.29,308.07
MAT086,Toys,AutoGen Item 86,19,Summer,3,223.29,0.044,535.04,440.87
MAT087,FMCG,AutoGen Item 87,55,Rainy,7,433.01,0.036,454.53,320.76
MAT088,Perishable,AutoGen Item 88,51,Holiday,5,192.61,0.017,743.81,324.38
MAT089,Perishable,AutoGen Item 89,8,Holiday,10,126.27,0.013,266.72,450.66
MAT090,Electronics,AutoGen Item 90,54,Holiday,3,300.56,0.036,495.58,261.39
MAT091,FMCG,AutoGen Item 91,12,Summer,10,471.27,0.011,206.81,153.61
MAT092,Seasonal,AutoGen Item 92,21,Holiday,5,363.21,0.033,481.2,111.51
MAT093,Misc,AutoGen Item 93,22,Summer,5,306.53,0.048,233.78,402.05
MAT094,Perishable,AutoGen Item 94,39,None,5,93.73,0.033,271.29,348.12
MAT095,Household,AutoGen Item 95,39,School,7,326.75,0.026,270.52,381.63
MAT096,Electronics,AutoGen Item 96,30,Rainy,7,495.52,0.036,589.53,185.19
MAT097,Household,AutoGen Item 97,20,Holiday,10,113.04,0.028,647.63,154.55
MAT098,Perishable,AutoGen Item 98,29,School,10,283.25,0.032,550.02,105.82
MAT099,Grocery,AutoGen Item 99,49,Rainy,3,444.82,0.048,777.3,240.24
MAT100,Misc,AutoGen Item 100,13,School,3,383.35,0.025,424.92,335.97
