Date,Material_ID,Base_Demand,Seasonal_Factor,Weekly_Factor,Noise,Final_Demand
2019-01-01,MAT001,35,0.9,1.0,-0.04310238196010707,30
2019-01-02,MAT001,35,0.9,1.0,-0.025010031190508375,30
2019-01-03,MAT001,35,0.9,1.0,0.1616634777974994,36
2019-01-04,MAT001,35,0.9,1.05,-0.06069781319067988,31
2019-01-05,MAT001,35,0.9,1.1,0.005595795663924319,34
2019-01-06,MAT001,35,0.9,1.1,0.11346120509645724,38
2019-01-07,MAT001,35,0.9,1.05,-0.04138288707149193,31
2019-01-08,MAT001,35,0.9,1.0,0.048834680091149385,33
2019-01-09,MAT001,35,0.9,1.0,0.14494548349869807,36
2019-01-10,MAT001,35,0.9,1.0,0.17980824946305685,37
2019-01-11,MAT001,35,0.9,1.05,-0.14117060762838485,28
2019-01-12,MAT001,35,0.9,1.1,0.17063505006459778,40
2019-01-13,MAT001,35,0.9,1.1,-0.0031534827681847233,34
2019-01-14,MAT001,35,0.9,1.05,-0.09670224468041666,29
2019-01-15,MAT001,35,0.9,1.0,-0.016345697504695472,30
2019-01-16,MAT001,35,0.9,1.0,0.19201303011419085,37
2019-01-17,MAT001,35,0.9,1.0,-0.002952762402852166,31
2019-01-18,MAT001,35,0.9,1.05,-0.06849935588499673,30
2019-01-19,MAT001,35,0.9,1.1,0.0533603417266903,36
2019-01-20,MAT001,35,0.9,1.1,-0.10394175248872278,31
2019-01-21,MAT001,35,0.9,1.05,-0.16965466875653445,27
2019-01-22,MAT001,35,0.9,1.0,-0.1484481112357403,26
2019-01-23,MAT001,35,0.9,1.0,-0.14878166441689103,26
2019-01-24,MAT001,35,0.9,1.0,-0.13923892259508228,27
2019-01-25,MAT001,35,0.9,1.05,-0.14446913094023595,28
2019-01-26,MAT001,35,0.9,1.1,0.05634989792128586,36
2019-01-27,MAT001,35,0.9,1.1,-0.12724796624034207,30
2019-01-28,MAT001,35,0.9,1.05,-0.06173308667045471,31
2019-01-29,MAT001,35,0.9,1.0,0.15871536396240477,36
2019-01-30,MAT001,35,0.9,1.0,-0.010415343894851048,31
2019-01-31,MAT001,35,0.9,1.0,0.0670230954084109,33
2019-02-01,MAT001,35,0.95,1.05,-0.1310720515193481,30
2019-02-02,MAT001,35,0.95,1.1,-0.12308439247653169,32
2019-02-03,MAT001,35,0.95,1.1,-0.18365255349340848,29
2019-02-04,MAT001,35,0.95,1.05,-0.1324259747711342,30
2019-02-05,MAT001,35,0.95,1.0,-0.08856386438721656,30
2019-02-06,MAT001,35,0.95,1.0,-0.12919580628930127,28
2019-02-07,MAT001,35,0.95,1.0,-0.16451898649717778,27
2019-02-08,MAT001,35,0.95,1.05,-0.1517456515597597,29
2019-02-09,MAT001,35,0.95,1.1,-0.015688492786909702,36
2019-02-10,MAT001,35,0.95,1.1,-0.117466512637683,32
2019-02-11,MAT001,35,0.95,1.05,-0.05429205558076983,33
2019-02-12,MAT001,35,0.95,1.0,0.001366908341942752,33
2019-02-13,MAT001,35,0.95,1.0,0.0761579314517461,35
2019-02-14,MAT001,35,0.95,1.0,-0.18427514406356044,27
2019-02-15,MAT001,35,0.95,1.05,0.11976415956361708,39
2019-02-16,MAT001,35,0.95,1.1,0.05116015579636313,38
2019-02-17,MAT001,35,0.95,1.1,-0.16729638722045126,30
2019-02-18,MAT001,35,0.95,1.05,0.14943144964271088,40
2019-02-19,MAT001,35,0.95,1.0,0.16834896021272527,38
2019-02-20,MAT001,35,0.95,1.0,-0.17556881605805452,27
2019-02-21,MAT001,35,0.95,1.0,-0.08924894074111851,30
2019-02-22,MAT001,35,0.95,1.05,0.12248051191722453,39
2019-02-23,MAT001,35,0.95,1.1,0.09930387615346337,40
2019-02-24,MAT001,35,0.95,1.1,-0.12619159225744908,31
2019-02-25,MAT001,35,0.95,1.05,-0.11626027066531588,30
2019-02-26,MAT001,35,0.95,1.0,-0.0518111588834472,31
2019-02-27,MAT001,35,0.95,1.0,-0.006190805923591475,33
2019-02-28,MAT001,35,0.95,1.0,0.04730190861211839,34
2019-03-01,MAT001,35,1.0,1.05,-0.052434544172091035,34
2019-03-02,MAT001,35,1.0,1.1,-0.014986113546740842,37
2019-03-03,MAT001,35,1.0,1.1,0.09898837525350263,42
2019-03-04,MAT001,35,1.0,1.05,-0.18532671884376084,29
2019-03-05,MAT001,35,1.0,1.0,-0.0990252222623917,31
2019-03-06,MAT001,35,1.0,1.0,0.08533983435382098,37
2019-03-07,MAT001,35,1.0,1.0,0.15808273507487974,40
2019-03-08,MAT001,35,1.0,1.05,0.004670976846266439,36
2019-03-09,MAT001,35,1.0,1.1,0.012845394106126257,38
2019-03-10,MAT001,35,1.0,1.1,-0.1571311954640896,32
2019-03-11,MAT001,35,1.0,1.05,-0.021035053270618137,35
2019-03-12,MAT001,35,1.0,1.0,0.013046906582009271,35
2019-03-13,MAT001,35,1.0,1.0,-0.10301179854610815,31
2019-03-14,MAT001,35,1.0,1.0,-0.09230270762024761,31
2019-03-15,MAT001,35,1.0,1.05,-0.04908633475815094,34
2019-03-16,MAT001,35,1.0,1.1,-0.19197152088890945,31
2019-03-17,MAT001,35,1.0,1.1,-0.07116833376672868,35
2019-03-18,MAT001,35,1.0,1.05,-0.11542079720138215,32
2019-03-19,MAT001,35,1.0,1.0,-0.06900105912883414,32
2019-03-20,MAT001,35,1.0,1.0,-0.15209514727229953,29
2019-03-21,MAT001,35,1.0,1.0,0.15621091229595802,40
2019-03-22,MAT001,35,1.0,1.05,0.03743698142161947,38
2019-03-23,MAT001,35,1.0,1.1,0.07164092765779584,41
2019-03-24,MAT001,35,1.0,1.1,0.11566849544293534,42
2019-03-25,MAT001,35,1.0,1.05,-0.0006231204283770886,36
2019-03-26,MAT001,35,1.0,1.0,-0.16523188476503053,29
2019-03-27,MAT001,35,1.0,1.0,0.0148426167274191,35
2019-03-28,MAT001,35,1.0,1.0,0.034736447208351645,36
2019-03-29,MAT001,35,1.0,1.05,0.09817578967373197,40
2019-03-30,MAT001,35,1.0,1.1,-0.02733618150812825,37
2019-03-31,MAT001,35,1.0,1.1,-0.1489678788817745,32
2019-04-01,MAT001,35,1.05,1.05,-0.08648963768051021,35
2019-04-02,MAT001,35,1.05,1.0,-0.054767081440545956,34
2019-04-03,MAT001,35,1.05,1.0,0.05836689653264049,38
2019-04-04,MAT001,35,1.05,1.0,0.028311321867564743,37
2019-04-05,MAT001,35,1.05,1.05,-0.05756130964086151,36
2019-04-06,MAT001,35,1.05,1.1,0.19460609951719188,48
